2025-06-21 00:00:00 [JetCacheDefaultExecutor] INFO  c.a.jetcache.support.StatInfoLogger - jetcache stat from 2025-06-20 23:45:00,018 to 2025-06-21 00:00:00,008
cache                                          |       qps|   rate|           get|           hit|          fail|        expire|avgLoadTime|maxLoadTime
goya:cache:token:captcha:graphic:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_local     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_remote    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:                   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_local             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_remote            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:                   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_local             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_remote            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
-----------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------

2025-06-21 00:45:00 [JetCacheDefaultExecutor] INFO  c.a.jetcache.support.StatInfoLogger - jetcache stat from 2025-06-21 00:30:00,005 to 2025-06-21 00:45:00,008
cache                                          |       qps|   rate|           get|           hit|          fail|        expire|avgLoadTime|maxLoadTime
-----------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------
data:identity:security:permission:             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
data:identity:security:permission:_local       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
data:identity:security:permission:_remote      |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:                  |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_local            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_remote           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:_local |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:_remote|      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:_local  |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:_remote |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_local     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_remote    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:                   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_local             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_remote            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:                   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_local             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_remote            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
-----------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------

2025-06-21 01:00:00 [JetCacheDefaultExecutor] INFO  c.a.jetcache.support.StatInfoLogger - jetcache stat from 2025-06-21 00:45:00,008 to 2025-06-21 01:00:00,019
cache                                          |       qps|   rate|           get|           hit|          fail|        expire|avgLoadTime|maxLoadTime
-----------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------
data:identity:security:permission:             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
data:identity:security:permission:_local       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
data:identity:security:permission:_remote      |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:                  |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_local            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_remote           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:_local |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:_remote|      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:_local  |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:_remote |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_local     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_remote    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:                   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_local             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_remote            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:                   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_local             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_remote            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
-----------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------

2025-06-21 01:15:00 [JetCacheDefaultExecutor] INFO  c.a.jetcache.support.StatInfoLogger - jetcache stat from 2025-06-21 01:00:00,019 to 2025-06-21 01:15:00,002
cache                                          |       qps|   rate|           get|           hit|          fail|        expire|avgLoadTime|maxLoadTime
-----------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------
data:identity:security:permission:             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
data:identity:security:permission:_local       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
data:identity:security:permission:_remote      |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:                  |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_local            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_remote           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:_local |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:_remote|      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:_local  |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:_remote |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_local     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_remote    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:                   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_local             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_remote            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:                   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_local             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_remote            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
-----------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------

2025-06-21 01:29:59 [JetCacheDefaultExecutor] INFO  c.a.jetcache.support.StatInfoLogger - jetcache stat from 2025-06-21 01:15:00,002 to 2025-06-21 01:29:59,967
cache                                          |       qps|   rate|           get|           hit|          fail|        expire|avgLoadTime|maxLoadTime
-----------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------
data:identity:security:permission:             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
data:identity:security:permission:_local       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
data:identity:security:permission:_remote      |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:                  |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_local            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_remote           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:_local |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:_remote|      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:_local  |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:_remote |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_local     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_remote    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:                   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_local             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_remote            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:                   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_local             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_remote            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
-----------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------

2025-06-21 01:44:59 [JetCacheDefaultExecutor] INFO  c.a.jetcache.support.StatInfoLogger - jetcache stat from 2025-06-21 01:29:59,967 to 2025-06-21 01:44:59,980
cache                                          |       qps|   rate|           get|           hit|          fail|        expire|avgLoadTime|maxLoadTime
-----------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------
data:identity:security:permission:             |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
data:identity:security:permission:_local       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
data:identity:security:permission:_remote      |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:                  |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_local            |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_remote           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:_local |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:compatible:_remote|      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:_local  |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:security:metadata:indexable:_remote |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
